Stud		Q1	Q2	Q3	Q4	Q5
1234		82	5	86	34	76	
1235		46	27	51	57	37	
1236		76	57	33	33	29	
1237		93	59	23	5	76	
1238		13	69	25	68	18	
1239		78	66	91	25	48	
1240		53	92	90	68	9	
1241		45	30	3	47	48	
1242		16	73	89	18	59	
1243		61	53	77	94	30	
1244		69	51	45	31	59	
1245		100	23	88	90	2	
1246		85	48	13	55	32	
1247		77	53	72	11	8	
1248		8	94	38	31	94	
1249		70	7	18	4	27	
1250		3	1	84	61	70	
1251		43	15	76	9	83	
1252		86	48	9	58	85	
1253		10	90	25	0	0	
1254		61	16	16	30	12	
1255		77	69	83	1	62	
1256		72	81	58	12	85	
1257		34	87	30	44	90	
1258		55	0	64	1	98	
1259		26	87	9	43	79	
1260		40	75	89	16	55	
1261		95	37	62	27	46	
1262		43	70	57	0	96	
1263		33	91	67	36	36	
1264		56	63	70	35	18	
1265		5	18	37	10	22	
1266		46	55	78	18	62	
1267		30	37	40	65	22	
1268		62	88	83	16	46	
1269		83	91	74	70	63	
1270		29	20	86	24	56	
1271		58	68	17	98	54	
1272		36	3	23	51	43	
1273		16	74	45	4	29
