Stud		Q1	Q2	Q3	Q4	Q5
1234		92	37	32	60	22	
1235		9	62	71	43	21	
1236		30	5	41	61	87	
1237		95	87	64	43	79	
1238		8	99	91	67	0	
1239		75	75	95	35	29	
1240		49	9	49	24	18	
1241		51	11	27	74	17	
1242		36	44	31	41	6	
1243		16	73	70	15	30	
1244		40	2	63	68	74	
1245		85	91	95	16	47	
1246		43	65	45	25	39	
1247		38	7	90	17	100	
1248		48	11	25	59	89	
1249		29	56	11	11	60	
1250		14	98	79	24	11	
1251		1	40	49	39	91	
1252		38	81	71	6	43	
1253		73	25	23	26	83	
1254		84	86	99	39	37	
1255		53	20	2	49	31	
1256		52	54	83	19	52	
1257		98	30	49	58	21	
1258		76	6	2	36	30	
1259		35	55	0	22	5	
1260		71	42	40	13	28	
1261		79	58	18	27	7	
1262		1	97	25	74	35	
1263		83	89	46	42	36	
1264		76	93	72	94	90	
1265		55	75	38	20	60	
1266		88	82	81	20	0	
1267		85	28	82	100	33	
1268		78	2	29	8	2	
1269		91	28	52	54	8	
1270		92	66	80	89	15	
1271		33	46	4	48	83	
1272		63	18	76	1	39	
1273		19	92	45	61	8	
1274		80	46	41	64	2	
1275		19	12	73	8	73	
1276		1	75	18	45	77	
1277		5	79	0	24	76	
1278		15	95	65	9	73	
1279		27	32	53	17	10	
1280		29	20	97	58	45	
1281		44	81	39	33	0	
1282		96	76	72	39	14	
1283		19	40	8	7	7	
